Priority,Platform,Cash Score,Consumer Offer,Partner Status,Affiliate/Creator URL,Public Email,Official URL,Pitch Angle
A,Fanatics Live,9.5,Free Debut Pack / first card,Approved link not installed,https://www.fanatics.com/affiliates/x-2712+z-928231036-1795439153,,https://www.fanatics.live/debut-pack,Exclusive Cash Cacher signup/free-pack code + CPA/rev share
A,Tilt Rips,9.5,Digital packs + qualifying FREEPACK10 promotion,VERIFIED AFFILIATE — REGISTER NOW,https://tiltrips.com/partners/,,https://tiltrips.com/,Exclusive Cash Cacher signup/free-pack code + CPA/rev share
A,ClutchPacks,9.4,20% off first pack with code CP20,VERIFIED AFFILIATE — APPLY NOW,https://partners.clutchpacks.io/,,https://clutchpacks.io/,Exclusive Cash Cacher signup/free-pack code + CPA/rev share
A,Upper Deck e-Pack,9.4,FREE daily pack,Approved link not installed,,,https://www.upperdeckepack.com/,Exclusive Cash Cacher signup/free-pack code + CPA/rev share
A,Gotya,9.3,Free $10 pack advertised,Approved link not installed,,,https://gotya.com/free-pack,Exclusive Cash Cacher signup/free-pack code + CPA/rev share
A,CrownCards,9.2,Creator / signup promotions may be available,VERIFIED AMBASSADOR — APPLY NOW,https://www.crowncards.io/,support@crowncards.io,https://crowncards.io/,Exclusive Cash Cacher signup/free-pack code + CPA/rev share
A,Courtyard,9.1,Risk-free first-pack promos / referral offers may be available,Approved link not installed,https://docs.courtyard.io/courtyard/resources/referral-program,,https://courtyard.io/,Exclusive Cash Cacher signup/free-pack code + CPA/rev share
A,PackLab,9.0,Referral: both get a free Mystery Pack,Verified referral path — commercial use must be confirmed,https://packlab.gg/,,https://packlab.gg/,Exclusive Cash Cacher signup/free-pack code + CPA/rev share
A,Trove,9.0,100% FMV offer for first 2 minutes,Outreach target — no approved Cash Cacher deal installed,,,https://troveapp.com/,Exclusive Cash Cacher signup/free-pack code + CPA/rev share
A,Phygitals,8.4,85–90% instant buyback advertised,VERIFIED CREATOR PACK PATH — CONTACT NOW,https://docs.phygitals.com/about-phygitals/welcome-to-phygitals-the-future-of-collecting/packs/creator-packs,,https://www.phygitals.com/,Exclusive Cash Cacher signup/free-pack code + CPA/rev share
B,Fanatics Collect,8.8,Topps Instant Packs + daily giveaways,Outreach target — no approved Cash Cacher deal installed,https://www.fanaticsinc.com/fanatics-collect,,https://www.fanaticscollect.com/,Tracked CPA/rev share + faceless review video
B,CatchBack,8.6,Instant buyback + cash payout path,Outreach target — no approved Cash Cacher deal installed,,,https://catchbackcards.com/,Tracked CPA/rev share + faceless review video
B,OpenThatPack,8.6,Daily free-pack program + real booster openings,Approved link not installed,https://openthatpack.com/,marketing@openthatpack.com,https://openthatpack.com/,Tracked CPA/rev share + faceless review video
B,Packz,8.6,Digital packs + eligible 100% value buyback,Outreach target — no approved Cash Cacher deal installed,,support@packz.io,https://packz.io/,Tracked CPA/rev share + faceless review video
B,Celly Packs,8.5,85% cash or 100% ticket buyback,Outreach target — no approved Cash Cacher deal installed,,noah@cellypacks.com,https://cellypacks.com/,Tracked CPA/rev share + faceless review video
B,Stadium Vault,8.5,First-rip / buyback promotions may apply,Outreach target — no approved Cash Cacher deal installed,,,https://stadiumvault.io/,Tracked CPA/rev share + faceless review video
B,GameStop Power Packs,8.4,Power Packs + potential GameStop affiliate path,Outreach target — no approved Cash Cacher deal installed,,,https://www.gamestop.com/,Tracked CPA/rev share + faceless review video
B,LastPack,8.4,Free-pack / rank-up promotions advertised,Approved link not installed,,,https://lastpack.com/,Tracked CPA/rev share + faceless review video
B,Arena Club,8.3,Optional Slab Safe downside protection,Outreach target — no approved Cash Cacher deal installed,https://arenaclub.com/,support@arenaclub.com,https://arenaclub.com/,Tracked CPA/rev share + faceless review video
B,Packs.com,8.3,Welcome/free-pack promotions may be available,Outreach target — no approved Cash Cacher deal installed,,,https://packs.com/,Tracked CPA/rev share + faceless review video
B,BOXED.GG,8.2,Free signup boxes / creator Forge,Verified program — apply,https://helpdesk.boxed.gg/en/articles/15890982-forge-create-your-own-boxes,,https://boxed.gg/,Tracked CPA/rev share + faceless review video
B,Mipack,8.1,Sell back for MiKoin; cashout path advertised,Verified referral path — commercial use must be confirmed,https://www.mipack.io/how-it-works,,https://www.mipack.io/,Tracked CPA/rev share + faceless review video
B,Wonders Unsealed,8.0,Advertised value floor,Outreach target — no approved Cash Cacher deal installed,,,https://www.wondersunsealed.com/products/guaranteed-value-mystery-pack,Tracked CPA/rev share + faceless review video
C,DOPA!,7.9,Digital oripa mystery packs / periodic signup packs,Approved link not installed,,,https://dopa-global.com/,Tracked CPA/rev share + faceless review video
C,Pullmarket,7.9,105% of market estimate in Gems,Outreach target — no approved Cash Cacher deal installed,,,https://pullmarket.io/online-card-packs/mystery-card-packs,Tracked CPA/rev share + faceless review video
C,TheCollectibles.io,7.8,Digital collectible packs + recurring free-pack promos,Approved link not installed,,,https://thecollectibles.io/,Tracked CPA/rev share + faceless review video
C,LETSGO,7.7,90% FMV instant buyback advertised,Outreach target — no approved Cash Cacher deal installed,,info@letsgooo.com,https://letsgooo.com/,Tracked CPA/rev share + faceless review video
C,Pullbox,7.7,Daily free boxes + collectible mystery boxes,Approved link not installed,,,https://www.pullbox.gg/,Tracked CPA/rev share + faceless review video
C,MyPrize Digital Packs,7.6,Real cards + instant sell-back,Outreach target — no approved Cash Cacher deal installed,,,https://myprize.us/p/collectibles/digital-packs,Tracked CPA/rev share + faceless review video
C,Ripit,7.6,"Vault, sell or ship graded pulls",Outreach target — no approved Cash Cacher deal installed,,,https://www.ripit.co/,Tracked CPA/rev share + faceless review video
C,Beezie,7.5,Claw pulls + points / raffles,Outreach target — no approved Cash Cacher deal installed,,,https://beezie.com/,Tracked CPA/rev share + faceless review video
C,GEMINT,7.5,Graded-card packs + current task-based promotions,Approved link not installed,,,https://www.gemint.io/,Tracked CPA/rev share + faceless review video
C,RipVault,7.4,$10 signup credit advertised,Approved link not installed,,,https://www.ripvault.ca/,Tracked CPA/rev share + faceless review video
C,NWA Sports Cards RazorPack,7.2,Instant store-credit buyback,Outreach target — no approved Cash Cacher deal installed,,,https://nwasportscards.com/,Tracked CPA/rev share + faceless review video
C,Arcane,7.0,Live card pools + affiliate-code customer uplift,Verified program — apply,https://arcanepacks.com/terms,support@arcanepacks.com,https://arcanepacks.com/,Tracked CPA/rev share + faceless review video
C,MPE / CardCollectorSuite,6.2,Virtual packs + vault / marketplace,Outreach target — no approved Cash Cacher deal installed,,,https://cardcollectorsuite.com/,Tracked CPA/rev share + faceless review video
